YMD,T0000,T0015,T0030,T0045,T0100,T0115,T0130,T0145,T0200,T0215,T0230,T0245,T0300,T0315,T0330,T0345,T0400,T0415,T0430,T0445,T0500,T0515,T0530,T0545,T0600,T0615,T0630,T0645,T0700,T0715,T0730,T0745,T0800,T0815,T0830,T0845,T0900,T0915,T0930,T0945,T1000,T1015,T1030,T1045,T1100,T1115,T1130,T1145,T1200,T1215,T1230,T1245,T1300,T1315,T1330,T1345,T1400,T1415,T1430,T1445,T1500,T1515,T1530,T1545,T1600,T1615,T1630,T1645,T1700,T1715,T1730,T1745,T1800,T1815,T1830,T1845,T1900,T1915,T1930,T1945,T2000,T2015,T2030,T2045,T2100,T2115,T2130,T2145,T2200,T2215,T2230,T2245,T2300,T2315,T2330,T2345
20140111,5973.615773,5703.342927,5633.997336,5456.211662,5333.444194,5176.925576,4952.287253,4882.12046,4818.470806,4785.290016,4683.716563,4568.667385,4430.149736,4386.438141,4380.656941,4440.42417,4333.327731,4396.342229,4292.134935,4288.682705,4233.863931,4360.316817,4346.253175,4405.762772,4421.159194,4520.843766,4572.969917,4707.731241,4778.444144,4907.346571,5140.756604,5492.148125,5740.194391,6317.424901,6625.660346,6913.853651,7025.176283,7276.125856,7360.317491,7409.022064,7581.592533,7674.755213,7718.29667,7732.830083,7895.294704,7905.385905,7773.579589,7676.998726,7168.769457,6797.634071,6810.178208,6736.034318,6667.761644,6759.166102,6906.095979,7077.720213,7103.340823,7194.858092,7182.176118,7092.10347,7151.570387,7083.550592,7129.160962,7137.010493,7188.404391,7334.473684,7270.820247,7394.241398,7462.367311,7502.498733,7566.830394,7562.158486,7644.391497,7859.77796,8090.59819,8157.456119,8050.753306,8089.863027,7915.906234,7883.370494,7844.54023,7775.296004,7858.24148,7861.535115,7698.835172,7753.158955,7574.51551,7492.027583,7423.865198,7287.073955,7153.147122,6936.09255,6755.214128,6469.656604,6203.693371,5994.146793
20140112,5664.207598,5494.637048,5342.138692,5179.001085,4983.97046,4920.619178,4738.053635,4704.437121,4634.036267,4551.480246,4463.027401,4349.89213,4369.980345,4294.430634,4223.258824,4251.697187,4165.522484,4113.791899,4114.93194,4136.193273,4133.256792,4150.731924,4152.808791,4162.875839,4235.070708,4256.583174,4323.735304,4397.456662,4501.915477,4692.156242,4796.35597,4997.117549,5260.857639,5614.838963,5893.115279,6220.654597,6354.867483,6435.95667,6644.044465,6679.358479,6764.953413,6960.677491,6991.545995,7020.206003,7172.405502,7232.132476,7188.555905,7143.558963,6770.408693,6499.79722,6361.133101,6300.092262,6254.535436,6238.939194,6345.697491,6538.145394,6564.972878,6500.968495,6644.039227,6582.941061,6623.940148,6525.578462,6547.69,6645.172187,6681.057434,6775.313207,6805.459934,6915.303898,6937.455691,7077.875995,7223.673882,7317.967582,7505.021703,7704.124194,7883.878289,7840.157188,7748.677361,7716.090017,7723.343774,7677.957377,7562.381974,7556.355946,7629.311974,7528.856349,7507.233109,7511.729835,7408.555009,7393.150148,7257.552878,6984.064967,6890.694901,6646.570345,6400.582516,6194.633668,5927.31583,5638.116053
20140113,5402.74468,5239.073767,4930.877122,4884.305288,4761.022944,4623.200009,4529.111464,4389.755444,4381.243306,4229.717278,4191.642838,4214.39574,4154.879062,4125.529869,4089.674498,4000.767887,4128.315806,4107.718438,4031.189318,4086.331102,3970.219095,4207.879474,4141.266858,4185.044219,4235.274408,4404.107467,4579.046094,4660.255658,4881.505674,5111.985822,5299.140823,5655.901973,6036.752879,6558.962467,6958.732738,7160.745132,7305.66255,7433.813906,7638.23287,7837.294621,7883.595049,8071.483273,7952.61181,8210.689622,8164.995444,8209.127631,8188.143815,8084.034588,7629.481045,7220.843519,7166.271028,7182.442771,7102.657361,7131.028503,7265.563429,7444.726891,7496.102747,7532.713651,7536.799679,7510.649934,7437.875781,7547.008832,7611.978462,7546.416259,7726.372599,7643.737911,7737.59676,7848.790576,7877.44069,8067.374935,7890.765871,7998.916118,8154.135033,8373.277336,8629.83574,8641.341201,8569.770527,8705.490987,8612.290477,8555.368355,8449.661053,8393.268454,8336.77352,8445.135033,8417.36306,8277.739902,8218.007302,8045.179589,7936.69023,7679.933849,7548.474696,7303.231439,7075.674095,6803.196924,6373.063519,6263.492804
20140114,5810.955115,5576.971036,5444.494062,5436.313955,5181.226168,4953.948766,4945.518108,4774.47083,4759.278593,4637.611784,4731.492361,4610.514252,4451.496332,4417.997188,4304.977056,4461.105346,4406.785831,4333.306973,4451.041596,4275.240057,4272.707969,4289.951077,4362.098125,4437.276908,4585.994786,4675.075609,4897.971521,4957.491497,5026.546185,5352.725272,5525.178371,5746.568067,6159.696596,6636.266908,7021.888371,7262.761875,7458.086604,7599.254778,7703.960361,7808.071431,7918.585083,7991.054753,7975.698586,8015.94699,8024.527319,8152.461201,8083.917994,7913.705789,7548.748915,7080.006891,7102.176241,6946.777779,6959.816422,7011.710937,7137.034161,7330.978774,7329.799351,7464.181793,7351.609219,7401.664129,7355.687681,7443.817516,7423.522788,7359.454967,7455.099877,7514.594342,7539.335453,7661.584359,7645.902854,7729.378726,7705.955748,7831.547565,7892.842253,8243.36931,8395.237845,8521.496052,8429.131973,8612.529194,8370.469671,8385.361596,8315.350197,8241.394293,8344.961678,8341.006891,8267.82204,8242.755494,8097.42505,7925.320181,7915.047105,7682.683799,7517.150486,7275.334918,7064.329654,6686.128109,6397.70472,6076.992747
20140115,5830.360838,5614.883001,5491.237295,5323.809572,5109.588273,4969.323848,4883.726004,4755.873602,4648.384507,4574.691958,4546.887878,4564.0594,4521.676414,4378.711703,4413.017014,4276.082114,4348.370782,4227.657968,4257.889861,4372.286908,4249.107772,4380.718051,4320.20528,4322.264202,4343.998701,4477.666447,4675.563034,4893.990641,4973.837064,5265.83306,5423.654194,5779.929277,5986.061455,6499.557533,6984.975797,7152.560757,7239.676554,7460.991463,7534.194162,7582.601818,7689.534424,7773.218264,7875.170017,7992.300427,7994.012089,7972.170987,7931.090905,7805.601908,7385.431373,7015.502861,6886.107286,6925.925592,6880.974531,6900.417599,6971.477665,7214.355674,7201.769342,7212.092179,7242.813437,7190.585436,7161.525691,7141.345132,7184.329227,7319.437229,7316.565641,7423.231012,7441.320542,7429.006974,7530.569951,7686.151743,7627.922352,7655.203602,7845.506447,7965.537254,8186.000115,8249.223454,8213.889458,8300.758487,8175.341464,8098.11181,8050.201958,8075.971463,8068.980576,8039.964869,8011.372664,7969.396496,7927.302861,7795.175378,7670.99171,7528.709976,7453.748667,7090.186653,6913.124696,6551.489005,6337.243068,6036.172722
20140116,5678.771275,5603.383651,5406.534761,5234.456858,4973.756554,4949.601226,4840.116259,4621.826004,4540.344646,4610.102681,4530.665016,4332.723906,4356.59968,4231.186052,4199.639227,4237.664391,4211.144688,4253.937402,4184.357944,4167.971152,4112.434384,4140.749654,4231.789392,4249.150937,4308.177377,4372.431826,4641.908108,4726.000609,4773.529736,5073.038479,5453.077689,5522.693619,5883.07704,6302.993338,6644.755863,6998.602163,7005.019877,7303.491496,7316.210427,7379.649203,7539.796785,7520.761505,7739.311332,7726.571061,7685.060493,7811.483988,7716.316415,7603.658578,7175.973356,6871.231463,6680.374457,6726.668774,6721.322813,6726.758693,6741.402977,7072.787278,7032.056299,7129.682434,7058.287524,7058.61616,7038.898873,7006.355082,7025.936472,7079.574465,7222.379514,7218.08028,7290.938726,7428.094786,7444.17176,7464.451259,7534.284663,7496.667287,7541.477698,7835.868915,8088.552072,8161.342812,8148.204162,8173.567237,8034.94444,7922.496414,7991.870329,7907.698191,7904.444326,8031.536151,7972.640855,7856.014457,7855.456513,7655.511965,7594.515649,7374.449712,7245.186736,7025.740823,6800.472582,6451.808701,6226.097558,5858.248726
20140117,5730.295929,5445.793668,5286.249038,5206.882862,4981.805905,4842.240559,4723.999984,4644.868257,4614.234687,4429.351135,4466.194063,4330.704754,4247.472352,4247.931259,4309.720938,4166.619457,4077.989975,4175.523766,4163.682879,4203.231719,4048.432911,4207.964737,4220.531184,4239.905576,4270.921423,4343.675691,4558.9087,4673.986784,4813.478216,5051.028791,5310.628339,5415.641315,5752.051768,6281.149811,6584.887269,6758.859194,6880.878404,7039.758972,7194.966538,7325.559384,7333.702146,7359.677097,7613.906628,7538.06,7585.585247,7693.420535,7667.287377,7468.217187,7080.107771,6793.520592,6695.768939,6615.612698,6525.848413,6671.956118,6782.532335,6817.866234,6931.938816,6870.356135,6918.27171,7076.977969,7019.082064,6976.226785,6948.898684,6991.268963,6917.740247,6995.496611,7074.071752,7119.275304,7251.057467,7283.9588,7258.502023,7296.196611,7373.023618,7561.089934,7740.93162,7942.328355,7961.160905,7908.792254,7771.226563,7741.701703,7666.187106,7654.433519,7649.899351,7709.334161,7789.535313,7614.019342,7666.860189,7402.285608,7362.947549,7221.941365,7078.94833,6837.047887,6661.117047,6326.243462,6046.082533,5934.854573
20140118,5551.827763,5421.759687,5189.483972,5035.694449,4874.284606,4791.535361,4634.202525,4521.086266,4427.646554,4346.863208,4324.819473,4323.07745,4210.629424,4113.298363,4083.162015,4043.347007,3992.343437,4075.913593,3982.470098,4048.993183,4008.187805,3941.485173,3987.760575,4067.684695,4100.105296,4138.533495,4319.443733,4437.652007,4430.070099,4673.683174,4887.076481,5012.15866,5371.683437,5751.193997,5963.297689,6311.47463,6345.98917,6479.921241,6761.79616,6827.007417,6952.854441,7059.151406,6967.725123,7139.117236,7116.738948,7214.040715,7155.968561,7046.657418,6747.963766,6344.67676,6411.720929,6346.099071,6234.375247,6358.232122,6332.942088,6429.797073,6528.889654,6490.901932,6437.442031,6489.215781,6376.964762,6358.062566,6457.044276,6514.32491,6392.460609,6565.536448,6577.878922,6502.606825,6665.091234,6804.496045,6821.240379,6796.734687,7001.40653,7180.338356,7393.009983,7464.033092,7457.136004,7487.698182,7315.402417,7360.369095,7323.740246,7317.935378,7332.232887,7198.666118,7242.950304,7188.311562,7244.364564,7185.161875,6961.195568,6914.699588,6747.231998,6537.598799,6422.636727,6084.887771,5890.088297,5749.893906
20140119,5437.829095,5297.107121,5005.982476,5023.250222,4771.49778,4670.768906,4535.337409,4369.573915,4388.02574,4239.043537,4275.843882,4141.010099,4087.928207,4070.953207,3963.070098,4014.25176,3962.199038,3884.832517,3959.452483,3847.733412,3945.158175,3903.398996,3974.073972,3989.482228,3940.143372,4115.69824,4139.586333,4288.325066,4294.263503,4464.906776,4645.602838,4763.036373,4953.538068,5326.800567,5496.06741,5766.026752,5821.261365,6021.2225,6158.298438,6225.886389,6291.115979,6379.981365,6441.309227,6476.510139,6467.637549,6551.466307,6534.265394,6491.008438,6307.835675,6073.395502,5957.860839,5861.09199,5881.068849,5965.230608,5929.291332,5898.411867,5901.948487,6004.941341,5884.539218,5941.266661,5746.978668,5789.379696,5903.062047,5939.86472,6011.403578,6041.277056,6020.602961,6064.634753,6161.045575,6347.5887,6450.657311,6471.312879,6608.112755,6857.807245,7077.257911,7073.795205,7020.099885,7084.10097,6898.907212,7002.305526,6861.903264,6886.152779,6973.339095,7008.808988,6877.20676,6973.378865,6884.851233,6765.464021,6684.050757,6521.166611,6389.143306,6227.969367,5968.454112,5735.400263,5490.993437,5262.258125
20140120,5029.645723,4874.409251,4690.04009,4541.736596,4552.451604,4394.543364,4211.95134,4133.938799,4048.408273,3938.544909,3955.833898,3987.420493,3825.136098,3830.915649,3853.193833,3707.25646,3772.597697,3792.002644,3735.742644,3665.474001,3748.557993,3701.150601,3864.252221,3827.746077,3844.942916,4010.522401,4079.027196,4252.731595,4467.461077,4554.020288,4906.61005,5107.901152,5236.660601,5690.065082,5947.083363,6056.937221,6346.008667,6417.820871,6570.514391,6746.437665,6717.064901,6823.434325,6915.148116,6930.387689,6906.033996,7085.783726,6966.478964,6973.274687,6629.898955,6451.740995,6314.833158,6207.922862,6123.382221,6158.483223,6199.130782,6411.272401,6430.94759,6506.051004,6256.91213,6445.094458,6297.232993,6310.655271,6267.112262,6454.87167,6458.322154,6536.462056,6629.83833,6530.037746,6686.555394,6693.712927,6714.815083,6795.856061,7048.763191,7235.868528,7489.106234,7504.964861,7335.496743,7445.066003,7292.324177,7279.432295,7225.766463,7303.436012,7298.407047,7176.172788,7189.016267,7186.6775,7066.874934,7036.457771,6927.80972,6805.206958,6546.525806,6362.942927,6184.951225,5866.868437,5673.591184,5442.101751
20140121,5230.95574,4975.139095,4775.906333,4666.015518,4581.685658,4442.796111,4299.645839,4170.042878,4075.437517,4101.112253,4022.078108,4060.165255,3928.048733,3836.516526,3775.43194,3786.826336,3789.376854,3827.384946,3744.550535,3761.529803,3705.937842,3827.656061,3793.154519,3795.230222,3889.245338,4071.100938,4074.067295,4212.290937,4331.471151,4537.220082,4796.677525,5009.790502,5252.816242,5602.95074,5798.795486,5977.058109,6180.98926,6296.991463,6416.80208,6509.892689,6598.582311,6643.593997,6630.94704,6747.241892,6879.546497,6929.123585,6844.375946,6813.210913,6497.677188,6254.823429,6191.635107,6148.417533,6085.027451,6183.800708,6184.162615,6232.746908,6227.777986,6263.899622,6250.821694,6176.581677,6213.104408,6204.891612,6244.355674,6248.253134,6256.4087,6291.010346,6420.656957,6390.465222,6369.756595,6588.459391,6539.390486,6655.899029,6824.642557,6976.385962,7302.669227,7341.719293,7260.945453,7228.46995,7193.943479,7053.62454,7045.977254,7031.736587,7133.927154,7106.715938,7050.24991,7033.265016,7023.336193,6904.539129,6786.3488,6730.405214,6468.588537,6203.682895,6103.806069,5907.799721,5566.829589,5302.167417
20140122,5109.719514,4843.651521,4696.930485,4537.647755,4428.208766,4309.027097,4211.726785,4111.019736,4087.553981,3980.242105,3907.464169,3902.60088,3820.153014,3767.897853,3779.925271,3834.803409,3625.991703,3754.486633,3590.186966,3661.610782,3720.191895,3656.808215,3742.756423,3718.979104,3737.596702,3966.734079,4029.252713,4109.623421,4291.59222,4467.533051,4650.406957,4787.643915,5006.188116,5426.968684,5541.605321,5778.389111,5922.567583,6015.983627,6094.841135,6199.596382,6299.040394,6426.937804,6399.891003,6370.84833,6499.293208,6553.113076,6510.227533,6491.768142,6329.630411,6042.951858,5961.193371,5921.141004,5834.879292,5836.080346,5906.591974,5970.722845,5961.84977,6026.55653,5900.530444,5883.513249,5901.881751,5931.466266,5980.239515,5858.145518,5889.838619,5963.786957,5972.78167,6075.089704,6118.250436,6274.078026,6172.777434,6273.044976,6537.687845,6750.955634,6890.041703,7037.511094,6981.52347,6932.477845,6797.130156,6874.09403,6776.017912,6733.833873,6805.481274,6826.028396,6828.66505,6710.787352,6740.036538,6609.924424,6540.729474,6311.884358,6337.176332,6052.448158,5812.677738,5644.29505,5404.359342,5133.489655
